Baseline Compliance,rho=0.5,rho=0.7,rho=0.9
0.2,0.14500000000000002,0.16666666666666669,0.14454545454545456
0.3,0.17083333333333336,0.1459090909090909,0.14333333333333334
0.4,0.17,0.15,0.16666666666666669
0.5,0.18,0.15,0.16666666666666669
0.6,0.1625,0.15555555555555556,0.16666666666666669
0.7,0.17272727272727273,0.14700000000000002,0.165
