mu_baseline,target_att,rho,study_end_week,power,mean_att,mean_se
0.2,0.02,0.7,26,0.1,0.02407801144933498,0.053229308261549244
0.2,0.02,0.5,26,0.04,0.023408516728369667,0.0514729671711517
0.2,0.02,0.9,26,0.14,0.01648488243782361,0.05164840804797462
0.2,0.05,0.5,26,0.3,0.0657897044540427,0.05306166938537326
0.2,0.05,0.7,26,0.18,0.061123799974535264,0.05370363223196936
0.2,0.05,0.9,26,0.24,0.05911540093893035,0.05174962801632698
0.2,0.08,0.7,26,0.34,0.07990230374200961,0.05193582754393642
0.2,0.08,0.5,26,0.38,0.09203304603892837,0.05362967357928385
0.2,0.08,0.9,26,0.28,0.08119605561921737,0.05346346404301936
0.2,0.1,0.5,26,0.32,0.08553181099945803,0.05381276740050966
0.2,0.1,0.7,26,0.56,0.10607348590951533,0.05285056513164589
0.2,0.1,0.9,26,0.52,0.10525189026659616,0.053665242917750426
0.2,0.12,0.7,26,0.68,0.12496204742969448,0.054563333926252414
0.2,0.12,0.9,26,0.62,0.12744490203424028,0.05361424958942401
0.2,0.12,0.5,26,0.6,0.11269177097412393,0.05219305146007505
0.2,0.15,0.5,26,0.84,0.16054117875588464,0.052897856457901675
0.2,0.15,0.7,26,0.74,0.1423454375281581,0.05101024628449397
0.2,0.15,0.9,26,0.84,0.15777398867472395,0.05419687779891384
0.2,0.2,0.5,26,0.98,0.19538094752469753,0.050897993475918446
0.2,0.2,0.7,26,0.92,0.19015400743047806,0.053358084205218745
0.2,0.2,0.9,26,1.0,0.21800512061467942,0.053568383466011414
0.2,0.25,0.5,26,1.0,0.24189002790510142,0.05330376018557347
0.2,0.25,0.7,26,1.0,0.2413121953618277,0.054270267149860586
0.2,0.25,0.9,26,0.98,0.2533928268626798,0.05413147456672277
0.2,0.3,0.5,26,1.0,0.28596112335377044,0.05338711848925144
0.2,0.3,0.7,26,1.0,0.31002530900472075,0.054211698204556485
0.2,0.3,0.9,26,1.0,0.28401562281672577,0.053462507397581745
0.2,0.4,0.5,26,1.0,0.38477766775707956,0.05362978887306647
0.2,0.4,0.7,26,1.0,0.37020664200995085,0.053426725218252376
0.2,0.4,0.9,26,1.0,0.39423070573217633,0.05447924878456848
0.3,0.02,0.7,26,0.02,0.020394832659170893,0.052432502328334435
0.3,0.02,0.5,26,0.08,0.026921933744360214,0.05422247544288061
